on -3..43,-40..7,-4..40
on -20..26,-14..40,-10..35
on -15..35,-41..5,-24..27
on -29..15,-6..44,-3..42
on -41..8,-44..0,-5..42
on -29..24,-42..12,-38..9
on -27..25,-29..24,-18..35
on -38..15,-9..44,-39..10
on -21..29,-37..16,-26..27
on -48..6,-7..44,-46..4
off -30..-13,17..31,2..17
on -28..21,-29..25,-25..19
off -7..3,9..25,-25..-10
on -9..45,-11..36,-45..2
off 6..19,-39..-29,2..11
on -8..40,-28..22,-10..44
off -4..11,35..47,-41..-26
on -42..7,-16..34,-43..4
off -49..-33,-23..-10,-22..-11
on -8..44,1..46,-30..18
on 62232..78415,10592..16840,-63799..-39301
on -19561..-12116,15146..45174,61387..76078
on 44301..72304,-60234..-37123,-41404..-18517
on -75853..-50603,-4587..13851,-66858..-40374
on -77069..-67384,-3885..10407,27840..55973
on -12168..10955,54286..82573,27822..43165
on -38401..-23118,-1152..11109,59601..83589
on 71961..76671,-8646..25487,-25494..-21642
on -70932..-43122,-43284..-31794,-42928..-32310
on -89678..-65722,9032..29150,-14924..-5850
on 42230..56799,3544..35677,-74586..-51550
on -43423..-29919,-78347..-55784,-19813..15947
on -65221..-45165,30159..48369,-63401..-38200
on -60966..-30690,-18861..3995,-70228..-60072
on -6435..21804,-80463..-53220,49250..65363
on -74843..-66633,3498..26678,-39115..-13584
on -69309..-56701,24561..48536,19706..37198
on -75035..-46424,2924..33601,-44952..-38121
on 28459..53641,52011..65743,-43314..-22682
on -43880..-24889,-4074..19818,58330..79647
on 5136..11702,14099..41185,69653..89427
on -79331..-49170,-48385..-23280,-2929..21279
on -50070..-26116,50287..84921,-49305..-18856
on -19588..2763,-35936..-21848,71238..78682
on -76518..-54361,-295..19687,-50588..-29444
on -67546..-55956,48660..54549,-10623..6603
on -73497..-60027,14945..26090,-66427..-31560
on 35611..40289,46748..74940,25897..39311
on -77695..-67359,-27857..-8017,-18063..-7051
on -72148..-55420,-23094..-751,-63716..-32227
on 31806..41545,18538..45727,53987..75941
on -21249..-3712,-85052..-64540,19463..42568
on -67446..-37670,11960..36978,-67928..-51082
on -71787..-50613,-56085..-30035,-46074..-31001
on 22468..32297,57670..70131,-49482..-23637
on -60650..-34937,-36029..-26802,-73401..-50897
on 20118..32744,-54809..-38065,-61419..-44658
on -58264..-20841,12601..35135,-69753..-52140
on -54544..-32381,53673..71651,232..19267
on -36779..-11146,28736..60514,59995..66863
on 65860..80449,38764..44797,-12277..-6722
on -71507..-48817,-60355..-35948,-6765..13684
on 11300..45161,39409..68818,43737..51630
on -78980..-62750,19728..30900,-6042..20859
on 50083..64019,-233..6235,56949..72154
on 50786..58145,-27728..-2863,56811..71571
on -13976..630,12322..27019,-83735..-70784
on -82646..-61357,-31008..-20185,20679..35924
on -37751..-21996,-47573..-35178,-59950..-49760
on 32031..58155,61627..73098,-3360..25799
on -84082..-67328,13405..20392,-6253..7349
on -20530..3394,-36538..-14359,71447..81666
on 3738..27286,-78149..-55767,-56997..-21213
on 56040..86994,16919..37104,2122..29289
on 38040..71411,10478..34303,45625..62019
on 25678..57820,-62186..-40695,49476..70027
on -61489..-43958,-34778..-26373,40201..62476
on -59788..-35126,-54443..-43673,-40903..-28049
on -55539..-43327,-7703..13954,-76875..-48852
on 31815..48567,18422..35510,-72647..-43995
on 31212..50433,-62581..-52691,-57228..-35978
on 44355..61445,-14875..6397,49115..75379
on 57224..82861,-12471..12459,13388..26000
on -87341..-67200,-3744..23720,-43001..-29993
on -67173..-43779,-5589..8687,-53952..-35735
on -42871..-20075,-70825..-46379,-42452..-33755
on -27193..-7849,36999..48863,49672..81986
on -46545..-28539,78..10172,-76130..-66536
on -55534..-19293,-21909..232,49568..87547
on -75492..-54838,-39896..-16427,21039..56416
on -34090..-18521,-83764..-69131,26890..40869
on 46759..58406,-55273..-35717,-46346..-13138
on -84958..-64253,20765..39015,-23572..1778
on 57342..72014,36497..65204,21410..41391
on 54168..68656,6336..42268,-45973..-28425
